[0.71899]: 1ba2B 2dri
1BA2_08_01_unrelaxed_rank_1_model_4: 0.7460 0.9855
1BA2_08_01_unrelaxed_rank_2_model_5: 0.7512 0.9815
1BA2_08_01_unrelaxed_rank_3_model_3: 0.7446 0.9876
1BA2_08_01_unrelaxed_rank_4_model_1: 0.7565 0.9706
1BA2_08_01_unrelaxed_rank_5_model_2: 0.7400 0.9865
1BA2_08_02_unrelaxed_rank_1_model_2: 0.7425 0.9844
1BA2_08_02_unrelaxed_rank_2_model_4: 0.7483 0.9861
1BA2_08_02_unrelaxed_rank_3_model_3: 0.7468 0.9862
1BA2_08_02_unrelaxed_rank_4_model_1: 0.7636 0.9634
1BA2_08_02_unrelaxed_rank_5_model_5: 0.7510 0.9819
1BA2_08_03_unrelaxed_rank_1_model_3: 0.7514 0.9846
1BA2_08_03_unrelaxed_rank_2_model_1: 0.7591 0.9626
1BA2_08_03_unrelaxed_rank_3_model_4: 0.7523 0.9840
1BA2_08_03_unrelaxed_rank_4_model_5: 0.7634 0.9763
1BA2_08_03_unrelaxed_rank_5_model_2: 0.7492 0.9823
1BA2_11_01_unrelaxed_rank_1_model_3: 0.7101 0.9752
1BA2_11_01_unrelaxed_rank_2_model_1: 0.8216 0.7849
1BA2_11_01_unrelaxed_rank_3_model_2: 0.7591 0.8370
1BA2_11_01_unrelaxed_rank_4_model_4: 0.8011 0.7889
1BA2_11_01_unrelaxed_rank_5_model_5: 0.8703 0.7654
1BA2_11_02_unrelaxed_rank_1_model_3: 0.7378 0.9776
1BA2_11_02_unrelaxed_rank_2_model_1: 0.7379 0.9776
1BA2_11_02_unrelaxed_rank_3_model_2: 0.7688 0.8573
1BA2_11_02_unrelaxed_rank_4_model_4: 0.7497 0.8743
1BA2_11_02_unrelaxed_rank_5_model_5: 0.8719 0.7503
1BA2_11_03_unrelaxed_rank_1_model_3: 0.7315 0.9817
1BA2_11_03_unrelaxed_rank_2_model_1: 0.8258 0.7948
1BA2_11_03_unrelaxed_rank_3_model_2: 0.7624 0.8577
1BA2_11_03_unrelaxed_rank_4_model_4: 0.8074 0.7981
1BA2_11_03_unrelaxed_rank_5_model_5: 0.8589 0.7033
1BA2_12_01_unrelaxed_rank_1_model_1: 0.7213 0.9815
1BA2_12_01_unrelaxed_rank_2_model_2: 0.7218 0.9806
1BA2_12_01_unrelaxed_rank_3_model_4: 0.7308 0.9795
1BA2_12_01_unrelaxed_rank_4_model_3: 0.7157 0.9813
1BA2_12_01_unrelaxed_rank_5_model_5: 0.7722 0.9382
1BA2_12_02_unrelaxed_rank_1_model_1: 0.7168 0.9819
1BA2_12_02_unrelaxed_rank_2_model_2: 0.7204 0.9816
1BA2_12_02_unrelaxed_rank_3_model_4: 0.7284 0.9808
1BA2_12_02_unrelaxed_rank_4_model_3: 0.7201 0.9812
1BA2_12_02_unrelaxed_rank_5_model_5: 0.7698 0.9397
1BA2_12_03_unrelaxed_rank_1_model_2: 0.7180 0.9807
1BA2_12_03_unrelaxed_rank_2_model_1: 0.7188 0.9817
1BA2_12_03_unrelaxed_rank_3_model_4: 0.7286 0.9805
1BA2_12_03_unrelaxed_rank_4_model_3: 0.7240 0.9800
1BA2_12_03_unrelaxed_rank_5_model_5: 0.7683 0.9395
1BA2_14_01_unrelaxed_rank_1_model_4: 0.7392 0.9879
1BA2_14_01_unrelaxed_rank_2_model_2: 0.7291 0.9886
1BA2_14_01_unrelaxed_rank_3_model_1: 0.7406 0.9804
1BA2_14_01_unrelaxed_rank_4_model_3: 0.9589 0.7729
1BA2_14_01_unrelaxed_rank_5_model_5: 0.9800 0.7323
1BA2_14_02_unrelaxed_rank_1_model_4: 0.7365 0.9880
1BA2_14_02_unrelaxed_rank_2_model_1: 0.7319 0.9832
1BA2_14_02_unrelaxed_rank_3_model_3: 0.7397 0.9803
1BA2_14_02_unrelaxed_rank_4_model_2: 0.7177 0.9843
1BA2_14_02_unrelaxed_rank_5_model_5: 0.9722 0.7268
1BA2_14_03_unrelaxed_rank_1_model_4: 0.7350 0.9890
1BA2_14_03_unrelaxed_rank_2_model_2: 0.7281 0.9886
1BA2_14_03_unrelaxed_rank_3_model_1: 0.7405 0.9806
1BA2_14_03_unrelaxed_rank_4_model_3: 0.9632 0.7685
1BA2_14_03_unrelaxed_rank_5_model_5: 0.9878 0.7142
1BA2_15_01_unrelaxed_rank_1_model_4: 0.7494 0.9805
1BA2_15_01_unrelaxed_rank_2_model_1: 0.7318 0.9856
1BA2_15_01_unrelaxed_rank_3_model_2: 0.7381 0.9866
